amfi_code,hhi,portfolio_type
100016,0.13953386,diversified
100033,0.14759225999999998,diversified
101206,0.12933173,diversified
101207,0.20070043,concentrated
102885,0.17470902,concentrated
102886,0.11469284,diversified
102887,0.12980494999999997,diversified
118632,0.1682982,concentrated
118633,0.12146086,diversified
118634,0.10835772,diversified
118635,0.13594415,diversified
119092,0.20644766999999994,concentrated
119093,0.13089424,diversified
119094,0.13640591000000002,diversified
119095,0.10960535000000002,diversified
119551,0.11871551999999999,diversified
119552,0.10801068999999998,diversified
119598,0.10734895,diversified
119599,0.17475095999999998,concentrated
120503,0.14087026,diversified
120504,0.10867415000000001,diversified
120505,0.15757036000000002,concentrated
120506,0.1537936,concentrated
120841,0.14968035000000002,diversified
120842,0.12743880999999999,diversified
120843,0.12868306000000002,diversified
125497,0.13658554,diversified
125498,0.15241398,concentrated
148567,0.13858416999999998,diversified
148568,0.16792973,concentrated
148569,0.14939642,diversified
149322,0.13439797,diversified
149323,0.14162096000000002,diversified
149324,0.11867710000000001,diversified
