,amfi_code,sharpe_ratio
0,100016.0,-0.13
1,100025.0,-0.13
2,100033.0,-0.13
3,101206.0,-0.13
4,101207.0,-0.13
5,101208.0,-0.13
6,102885.0,-0.13
7,102886.0,-0.13
8,102887.0,-0.13
9,118632.0,-0.13
10,118633.0,-0.13
11,118634.0,-0.13
12,118635.0,-0.13
13,118636.0,-0.13
14,119092.0,-0.13
15,119093.0,-0.13
16,119094.0,-0.13
17,119095.0,-0.13
18,119120.0,-0.13
19,119551.0,-0.13
20,119552.0,-0.13
21,119598.0,-0.13
22,119599.0,-0.13
23,120503.0,-0.13
24,120504.0,-0.13
25,120505.0,-0.13
26,120506.0,-0.13
27,120507.0,-0.13
28,120841.0,-0.13
29,120842.0,-0.13
30,120843.0,-0.13
31,120844.0,-0.13
32,125497.0,-0.13
33,125498.0,-0.13
34,148567.0,-0.13
35,148568.0,-0.13
36,148569.0,-0.13
37,149322.0,-0.13
38,149323.0,-0.13
39,149324.0,-0.13
