,amfi_code,max_drawdown_pct
0,100016.0,-24.73
1,100025.0,-4.31
2,100033.0,-16.22
3,101206.0,-11.29
4,101207.0,-35.45
5,101208.0,-0.16
6,102885.0,-10.86
7,102886.0,-28.0
8,102887.0,-21.54
9,118632.0,-17.41
10,118633.0,-18.63
11,118634.0,-23.34
12,118635.0,-11.65
13,118636.0,-8.32
14,119092.0,-14.4
15,119093.0,-21.75
16,119094.0,-20.96
17,119095.0,-51.68
18,119120.0,-4.33
19,119551.0,-15.01
20,119552.0,-11.8
21,119598.0,-28.71
22,119599.0,-52.57
23,120503.0,-13.9
24,120504.0,-12.59
25,120505.0,-18.19
26,120506.0,-19.83
27,120507.0,-0.1
28,120841.0,-17.57
29,120842.0,-24.0
30,120843.0,-12.97
31,120844.0,-0.12
32,125497.0,-15.2
33,125498.0,-21.12
34,148567.0,-11.27
35,148568.0,-15.27
36,148569.0,-16.4
37,149322.0,-14.84
38,149323.0,-17.25
39,149324.0,-31.17
